;Nama Produk;Harga;URL Gambar;Link Produk;;
73;Voal plain Olive;Rp. 85.500;https://hijab.id/tm_images/produk/thumb/cc8fdb17835b8fe3.jpg;https://hijab.id/detail-produk/voal-plain-olive-829-1.php;;
74;Paris Premium Pink Coral;Rp. 121.500;https://hijab.id/tm_images/produk/thumb/2ee150cb3fce6f52.jpg;https://hijab.id/detail-produk/paris-premium-pink-coral-765-1.php;;
75;Voal plain Salmon;Rp. 85.500;https://hijab.id/tm_images/produk/thumb/90a8d283208cf02f.jpg;https://hijab.id/detail-produk/voal-plain-salmon-857-1.php;;
76;Voal PLain Dark Choco;Rp. 85.500;https://hijab.id/tm_images/produk/thumb/d8f091f689e1d64f.jpg;https://hijab.id/detail-produk/voal-plain-dark-choco-854-1.php;;
77;Voal Plain Navy;Rp. 95.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-navy-859-1.php;;
78;Voal Plain Grey;Rp. 85.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-grey-858-1.php;;
79;Voal Plain Pink Rouge;Rp. 85.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-pink-rouge-855-1.php;;
80;Voal Plain Latte;Rp. 85.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-latte-852-1.php;;
81;Voal Plain Black;Rp. 95.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-black-851-1.php;;
82;Voal Plain Mustard;Rp. 85.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-mustard-846-1.php;;
83;Voal Plain Silver;Rp. 95.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-silver-845-1.php;;
84;Voal Plain Brick;Rp. 95.000;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-brick-844-1.php;;
85;Voal Plain Brown;Rp. 85.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-brown-843-1.php;;
86;Voal Plain Lilac;Rp. 85.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-lilac-842-1.php;;
87;Voal Plain Lava Grey;Rp. 85.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-lava-grey-840-1.php;;
88;Voal Plain Red;Rp. 85.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-red-839-1.php;;
89;Voal Plain Burgundy;Rp. 85.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-burgundy-838-1.php;;
90;Voal Plain Rosewood;Rp. 85.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-rosewood-837-1.php;;
91;Voal Plain Coral;Rp. 85.500;https://hijab.id/tps://hijab.id/tm_design/sold_out.png;https://hijab.id/detail-produk/voal-plain-coral-836-1.php;;
